Company Name (EN),Company Name (FA),Website,Company URL,Lower Employee Count,Upper Employee Count,Business Area,Founded Year
Faragostar Electronic,فراگستر الکترونیک,http://www.faragostar-co.com,https://jobinja.ir/companies/faragostar-electronic-1,51,200,کامپیوتر، فناوری اطلاعات و اینترنت,1376
Hamyargasht Safarbazi,همیار گشت سفربازی,http://www.safarbazi.com/,https://jobinja.ir/companies/hamyar-gasht-safarbazi,11,50,کامپیوتر، فناوری اطلاعات و اینترنت,1397
Zibal,زیبال,http://zibal.ir,https://jobinja.ir/companies/zibal,11,50,کامپیوتر، فناوری اطلاعات و اینترنت,1396
Hoonam Steel General Trading,فولاد تجارت هونام,http://ahanaval.com,https://jobinja.ir/companies/ahan-aval,11,50,نفت و گاز,1390
Kianam Ertebat,کیانام ارتباط,http://www.cctvgram.com,https://jobinja.ir/companies/kianam-ertebat-1,51,200,کامپیوتر، فناوری اطلاعات و اینترنت,1388
Serita clinic,کلینیک سریتا,http://drserita.com,https://jobinja.ir/companies/dr-serita,51,200,خدمات درمانی، پزشکی و سلامت,1395
NahalGasht,نهال‌گشت,https://nahalgasht.com,https://jobinja.ir/companies/nahalgasht,51,200,گردشگری و هتل‌ها,1397
Pinket,پینکت,http://pinket.com,https://jobinja.ir/companies/pinket,11,50,کامپیوتر، فناوری اطلاعات و اینترنت,1397
Idekavan Group,گروه ایده‌کاوان,https://idekavan.com/,https://jobinja.ir/companies/behtarino,N/A,N/A,کامپیوتر، فناوری اطلاعات و اینترنت,N/A
Eghtesad Bidar Brokerage Co,کارگزاری اقتصاد بیدار,https://ebidar.com/,https://jobinja.ir/companies/eghtesade-bidar,201,500,مالی و اعتباری,1383
Hamta Rayane,همتا رایانه,http://www.hamtarayaneh.ir,https://jobinja.ir/companies/hamtarayaneh,51,200,کامپیوتر، فناوری اطلاعات و اینترنت,1379
Baset Pazhuh Tehran,باسط پژوه تهران,http://www.basetp.com,https://jobinja.ir/companies/baset-pazhuh-tehran,51,200,تولید و صنایع,1377
Tajhiz Sanat,تجهیز صنعت,https://tajhiz-sanat.com,https://jobinja.ir/companies/tajhizsanat,51,200,نفت و گاز,1390
Vandar,وندار,https://vandar.io,https://jobinja.ir/companies/vandar,51,200,کامپیوتر، فناوری اطلاعات و اینترنت,1397
Wish Work,ویش ورک,http://wishwork.org,https://jobinja.ir/companies/wish-work,11,50,کامپیوتر، فناوری اطلاعات و اینترنت,1399
Hamipishgaman,حامی پیشگامان,http://hamipishgaman.com/,https://jobinja.ir/companies/hami-4,11,50,تبلیغات، بازاریابی و برندسازی,1397
Pivan,پیوان,http://pivan.co,https://jobinja.ir/companies/salem-tejarat-asia-1,51,200,واردات و صادرات,1389
App Tech,اپتک,http://App-Tech.ir,https://jobinja.ir/companies/apptech,11,50,کامپیوتر، فناوری اطلاعات و اینترنت,1395
UTRAVS,خدمات گردشگری یوتراوز,http://www.utravs.com,https://jobinja.ir/companies/sarv-software-developers,51,200,کامپیوتر، فناوری اطلاعات و اینترنت,1380
Ahan Online,آهن آنلاین,https://ahanonline.com,https://jobinja.ir/companies/ahanonline-2,201,500,کامپیوتر، فناوری اطلاعات و اینترنت,1394
iGap Messenger,پیام رسان آیگپ,http://www.igap.net/fa/,https://jobinja.ir/companies/kian-iranian-stdg,51,200,کامپیوتر، فناوری اطلاعات و اینترنت,1397
G2,هلدینگ بین المللی G2,http://g2-holding.com,https://jobinja.ir/companies/go2tr,201,500,سرمایه‌گذاری و تحلیل کسب‌وکار,2018
Shianchi,شیانچی,http://www.shianchi.com,https://jobinja.ir/companies/shianchi,11,50,کامپیوتر، فناوری اطلاعات و اینترنت,1396
Iran Europe English School,موسسه زبان ایران اروپا,https://iran-europe.net,https://jobinja.ir/companies/iran-europe-english-school,N/A,N/A,آموزش، مدارس و دانشگاه‌ها,N/A
Avay Etminan,مدیریت سرمایه آوای اطمینان,http://www.aeam.ir,https://jobinja.ir/companies/e-co,11,50,کامپیوتر، فناوری اطلاعات و اینترنت,1393
Dinawin,دیناوین,http://copapp.ir,https://jobinja.ir/companies/dinawin-1,11,50,کامپیوتر، فناوری اطلاعات و اینترنت,1388
Bale,بله,https://bale.ai,https://jobinja.ir/companies/bale,51,200,کامپیوتر، فناوری اطلاعات و اینترنت,1394
ArzDigital,ارزدیجیتال,http://www.arzdigital.com/,https://jobinja.ir/companies/arzdigital,51,200,کامپیوتر، فناوری اطلاعات و اینترنت,1396
Nik Andish,نیک اندیش,https://nikandishllc.com/,https://jobinja.ir/companies/nikandish,51,200,مالی و اعتباری,1397
Peytam,پیتام,http://www.peytam.com,https://jobinja.ir/companies/peytam,N/A,N/A,کامپیوتر، فناوری اطلاعات و اینترنت,N/A
Footballi,فوتبالی,http://footballi.net,https://jobinja.ir/companies/footballi,11,50,کامپیوتر، فناوری اطلاعات و اینترنت,1394
Signal,سیگنال,http://signalads.com,https://jobinja.ir/companies/signal,51,200,کامپیوتر، فناوری اطلاعات و اینترنت,1390
Faramin Gostar,فرامین گستر,http://www.FaraminGostar.com,https://jobinja.ir/companies/faramin,11,50,کامپیوتر، فناوری اطلاعات و اینترنت,1396
UID,یوآیدی,https://www.u-id.net,https://jobinja.ir/companies/uid,11,50,کامپیوتر، فناوری اطلاعات و اینترنت,1398
Nobitex,نوبیتکس,http://nobitex.ir,https://jobinja.ir/companies/nobitex-1,201,500,کامپیوتر، فناوری اطلاعات و اینترنت,1396
Aria Med Tour,آریامدتور,https://ariamedtour.com,https://jobinja.ir/companies/ariamedtour,51,200,خدمات درمانی، پزشکی و سلامت,1396
Dio Pars,دایو پارس,http://www.diopars.com,https://jobinja.ir/companies/dio-pars,51,200,خدمات درمانی، پزشکی و سلامت,1386
Alaedin Travel,علاءالدین تراول,https://www.alaedin.travel,https://jobinja.ir/companies/alaedin-travel,51,200,گردشگری و هتل‌ها,1395
Incytel Games,اینسایتل,http://www.incytel.com,https://jobinja.ir/companies/incytel-games,11,50,کامپیوتر، فناوری اطلاعات و اینترنت,1395
Taban Shahr,کانون تابان شهر,https://tabaneshahr.com,https://jobinja.ir/companies/tabaneshahr-com,51,200,کامپیوتر، فناوری اطلاعات و اینترنت,1388
apiEco,اپی اکو (ای پی آی مارکت ایرانی),http://apieco.ir,https://jobinja.ir/companies/apieco,51,200,کامپیوتر، فناوری اطلاعات و اینترنت,1396
Mobtaker Team,گروه مبتکر,http://www.mobtakerteam.com,https://jobinja.ir/companies/innovative-technology-group,51,200,کامپیوتر، فناوری اطلاعات و اینترنت,1389
Nobaar,نوبار,http://nobaar.com/,https://jobinja.ir/companies/nobaar-1,11,50,حمل و نقل، لاجستیک و انبارداری,1396
Didar CRM,دیدار,http://didar.me/,https://jobinja.ir/companies/didar-crm,51,200,کامپیوتر، فناوری اطلاعات و اینترنت,1394
Graph,گراف,http://graph-inc.ir,https://jobinja.ir/companies/graph-inc,51,200,کامپیوتر، فناوری اطلاعات و اینترنت,1394
DIGIFY,دیجی فای,https://digify.ir/,https://jobinja.ir/companies/digify,51,200,کامپیوتر، فناوری اطلاعات و اینترنت,1395
Mihan Blockchain,میهن بلاکچین,https://mihanblockchain.com,https://jobinja.ir/companies/mihanblockchain-1,11,50,کامپیوتر، فناوری اطلاعات و اینترنت,1395
Asemooni,آسمونی,https://www.asemooni.com,https://jobinja.ir/companies/asemooni,11,50,کامپیوتر، فناوری اطلاعات و اینترنت,1382
Ecowat,اکووات,http://www.ecowat.com,https://jobinja.ir/companies/ecowat,51,200,تولید و صنایع,1391
Paradigm,پارادایم,http://paradigm.space,https://jobinja.ir/companies/paradigm-creative-communications-agency,11,50,کامپیوتر، فناوری اطلاعات و اینترنت,1396
Lingoland,لینگولند,http://lingoland.ir,https://jobinja.ir/companies/lingoland,11,50,آموزش، مدارس و دانشگاه‌ها,1395
Neshan Map And Navigator,نقشه و مسیریاب نشان,http://neshan.org/life,https://jobinja.ir/companies/rajman-information-structures,51,200,کامپیوتر، فناوری اطلاعات و اینترنت,1384
Rodween,رادوین تجارت,http://www.rodween.com,https://jobinja.ir/companies/rodween,11,50,کامپیوتر، فناوری اطلاعات و اینترنت,1380
Ideh Pardazan,ایده پردازان,http://www.ipe.ir,https://jobinja.ir/companies/ideh-pardazan-1,11,50,کامپیوتر، فناوری اطلاعات و اینترنت,1388
Rahyab Rayaneh Gostar,رهیاب رایانه گستر,http://www.rahyab.ir,https://jobinja.ir/companies/rahyab-rayaneh-gostar,51,200,کامپیوتر، فناوری اطلاعات و اینترنت,1377
P Publication,پ نشر,http://pnashr.pub,https://jobinja.ir/companies/puyandegan-teb-buqrat,11,50,کامپیوتر، فناوری اطلاعات و اینترنت,1395
Yaas Arghavani System Engineering,مهندسی یاس ارغوانی,http://sys-yaas.com,https://jobinja.ir/companies/yaas-arghavani-system-engineering,N/A,N/A,بانکداری,N/A
Ronix,رونیکس,https://ronixtools.com/ir/,https://jobinja.ir/companies/ronix-1,501,1000,واردات و صادرات,1381
Mehad Sanat,مهاد صنعت,http://mehad.ir,https://jobinja.ir/companies/mehad-sanat,11,50,کامپیوتر، فناوری اطلاعات و اینترنت,1381
Ershan Total Solutions,راهکارهای جامع ارشن,http://www.nahayatnegar.com,https://jobinja.ir/companies/ershan,11,50,کامپیوتر، فناوری اطلاعات و اینترنت,1393
Jibit,جیبیت,http://jibit.ir,https://jobinja.ir/companies/jibit,51,200,کامپیوتر، فناوری اطلاعات و اینترنت,1395
Khodro45,خودرو45,http://www.khodro45.com,https://jobinja.ir/companies/carpars,201,500,کامپیوتر، فناوری اطلاعات و اینترنت,1397
IraniCard,ایرانیکارت,http://www.IraniCard.ir,https://jobinja.ir/companies/iranicard,51,200,کامپیوتر، فناوری اطلاعات و اینترنت,1390
Golrang System,گلرنگ سیستم,https://www.golrangsystem.com/,https://jobinja.ir/companies/golrang-industrial-group,201,500,کامپیوتر، فناوری اطلاعات و اینترنت,1395
Bazigostaran Derick,بازی گستران دریک,http://www.medrickgames.com,https://jobinja.ir/companies/medrick,51,200,کامپیوتر، فناوری اطلاعات و اینترنت,1390
Fan Avaran Novin Sepidz Iranian,فن آوران نوین سپیدز ایرانیان,https://sepidz.com,https://jobinja.ir/companies/fan-avaran-novin-sepidz-iranian,51,200,کامپیوتر، فناوری اطلاعات و اینترنت,1378
PEA,پارس ارتباط افزار,http://www.pars-e.com,https://jobinja.ir/companies/pea,51,200,واردات و صادرات,1383
Shetab,پردازش اطلاعات شتاب,http://www.shetab.net,https://jobinja.ir/companies/shetab-1,11,50,کامپیوتر، فناوری اطلاعات و اینترنت,1382
Mahak Software Group,مشاور نرم افزار محک,http://mahaksoft.com,https://jobinja.ir/companies/mahak-software-group,51,200,کامپیوتر، فناوری اطلاعات و اینترنت,1385
Rayaneh Komak,رایانه کمک,http://rayanehkomak.com,https://jobinja.ir/companies/rayanehkomak,51,200,کامپیوتر، فناوری اطلاعات و اینترنت,1384
Jibimo,جیبی‌مو,http://www.jibimo.com,https://jobinja.ir/companies/jibimo,11,50,کامپیوتر، فناوری اطلاعات و اینترنت,1396
Asroon,آسرون,https://asroon.com/,https://jobinja.ir/companies/asroon,51,200,خرده‌فروشی، عمده‌فروشی و فروشگاه‌های زنجیره‌ای,1375
Ernyka Group,گروه ارنیکا,http://www.ernyka.com,https://jobinja.ir/companies/ernyka,501,1000,کامپیوتر، فناوری اطلاعات و اینترنت,1390
Esam,سایت ایسام,http://www.esam.ir,https://jobinja.ir/companies/esam-ir,51,200,خرده‌فروشی، عمده‌فروشی و فروشگاه‌های زنجیره‌ای,1390
Adanic,آدانیک افزار,http://adanic.ir,https://jobinja.ir/companies/adanic,51,200,کامپیوتر، فناوری اطلاعات و اینترنت,1393
ArvanCloud,ابر آروان,https://www.arvancloud.ir/fa,https://jobinja.ir/companies/arvan-cloud,201,500,کامپیوتر، فناوری اطلاعات و اینترنت,1394
Soshyant,توسعه فناوری سوشیانت,https://soshyant.co/,https://jobinja.ir/companies/soshyant-1,51,200,کامپیوتر، فناوری اطلاعات و اینترنت,1392
RDSysCo,رسا دانش سیستم,http://www.rdsysco.com,https://jobinja.ir/companies/rdsysco,11,50,کامپیوتر، فناوری اطلاعات و اینترنت,1395
DANA PARDAZ,دانا پرداز,https://www.danapardaz.net,https://jobinja.ir/companies/danapardaz,51,200,کامپیوتر، فناوری اطلاعات و اینترنت,1385
Anad,آناد صنعت سپهر,http://www.anadgroup.com,https://jobinja.ir/companies/anad,11,50,کامپیوتر، فناوری اطلاعات و اینترنت,1375
Fanavaran,فناوران اطلاعات خبره,http://iraneit.com,https://jobinja.ir/companies/fanavaran-5,201,500,کامپیوتر، فناوری اطلاعات و اینترنت,1382
