,company_name,company_url
328,توسعه فناوری رایان,https://jobinja.ir/companies/rayan-technology-development/jobs
329,صنایع غذایی ممتاز شهد,https://jobinja.ir/companies/momtazshahd/jobs
330,راهنمای مسیر اوج آرین,https://jobinja.ir/companies/rahnamaye-masir-oj-ariyan/jobs
331,هرا,https://jobinja.ir/companies/heraa/jobs
332,شهربازی آی مال,https://jobinja.ir/companies/shahre-bazi/jobs
333,سرزمین بیمه,https://jobinja.ir/companies/bimehland/jobs
334,اینشو,https://jobinja.ir/companies/insho/jobs
335,سپند خودرو آریا,https://jobinja.ir/companies/sepandkhodro-2/jobs
336,پیوند طلایی اوراسیا,https://jobinja.ir/companies/golden-nexus-of-eurasia/jobs
337,سایان سوله مشهد,https://jobinja.ir/companies/sayan-sole/jobs
338,کافه کارما,https://jobinja.ir/companies/karma-cafe/jobs
339,ایساتیس ماشین,https://jobinja.ir/companies/isatis-mashin/jobs
340,باشگاه اومند,https://jobinja.ir/companies/omandclub/jobs
341,سامان ابزار پویا,https://jobinja.ir/companies/saman-abzar-pooya/jobs
342,مهرشید جم,https://jobinja.ir/companies/mehrshid-1/jobs
343,گروه آینده سازان نادیا,https://jobinja.ir/companies/ayande-sazan-nadia/jobs
344,وبیفا,https://jobinja.ir/companies/webifa/jobs
345,نما کو,https://jobinja.ir/companies/nama-co/jobs
346,برشته کاری قهوه امکان,https://jobinja.ir/companies/emkan-coffee-roastery-1/jobs
347,ولت تابلو,https://jobinja.ir/companies/volt-tablo/jobs
348,شرکت حمل و نقل بین المللی سریع بار,https://jobinja.ir/companies/saribar-international-transportation-group/jobs
349,کافه عمارت بهشت,https://jobinja.ir/companies/emaratbehesht/jobs
350,کلینیک سلطانیه,https://jobinja.ir/companies/soltaniyeh-clinic/jobs
351,هتل المپیک باقری,https://jobinja.ir/companies/olympic-hotel-bagheri-1/jobs
352,تراست,https://jobinja.ir/companies/trust-9/jobs
353,بازار کامپیوتر رضا,https://jobinja.ir/companies/reza-computer-market/jobs
354,اگزوتیکا,https://jobinja.ir/companies/exotika/jobs
355,امید آوران بامداد,https://jobinja.ir/companies/omidavaran-bamdad/jobs
356,ایپک پود,https://jobinja.ir/companies/ipak-poud/jobs
357,زندگی هوشمندانه مالی,https://jobinja.ir/companies/zendegi-hooshmandane-mali/jobs
358,بازرگانی اعتضادی,https://jobinja.ir/companies/etezadi-trading/jobs
359,ایلیا متین خودرو,https://jobinja.ir/companies/iliya-matin-khdroo/jobs
360,مهندسین مشاور پردیس روز,https://jobinja.ir/companies/pardis-rooz/jobs
361,افزار پرداز رودین,https://jobinja.ir/companies/rodin-1/jobs
362,بازرگانی خانه رنگ و عایق,https://jobinja.ir/companies/commercial-color-instulatin/jobs
363,مدارس آفتاب هشتم,https://jobinja.ir/companies/aftab-hashtoom/jobs
364,معادن گروه سیمرغ آسیا,https://jobinja.ir/companies/sherkat-maaden-grohe-simorgh-asia/jobs
365,قالبسازی مهر مطلق,https://jobinja.ir/companies/mehr-motlagh-mold-maker/jobs
366,هواپیمایی البرز,https://jobinja.ir/companies/alborz-airline/jobs
367,گروه ساختمان های پارسیان,https://jobinja.ir/companies/parsianbuildings/jobs
368,مرشدگوهر,https://jobinja.ir/companies/morshedgohar-1/jobs
369,خورشید ‍پارسیان رسام گستر,https://jobinja.ir/companies/khurshid-parsian-rasam-gostar-company/jobs
370,تولیدی بازرگانی دیار اورست دماوند,https://jobinja.ir/companies/diar-everest-damavand/jobs
371,موسسه حال خوب زندگی آگاهانه,https://jobinja.ir/companies/hale-khube-zendegi-aghahaneh/jobs
372,هلدینگ افق تجارت پارسیان ملل,https://jobinja.ir/companies/ofpgh-tejarat-parsian-mills-holding/jobs
373,شرکت دقیق دزآب,https://jobinja.ir/companies/daghigh-dezab/jobs
374,مهندسین مشاور هشتاک,https://jobinja.ir/companies/hashtak/jobs
375,هوم اینوست,https://jobinja.ir/companies/homey-invest/jobs
376,هلدینگ باشگاه مشاوران,https://jobinja.ir/companies/bashahah-moshaveran/jobs
377,درمانگاه دندانپزشکی پالیز,https://jobinja.ir/companies/paliz-dental-clinic/jobs
378,جان کانسپت استور,https://jobinja.ir/companies/jaan-conceptstore/jobs
379,پادوک,https://jobinja.ir/companies/padook-2/jobs
380,بازرسی آتیه پژوهان کیفیت,https://jobinja.ir/companies/atie-pajhohan-keyfiat/jobs
381,میاچ,https://jobinja.ir/companies/miach/jobs
382,پیشرو فیت,https://jobinja.ir/companies/pishro-fit/jobs
383,اجاره خودرو هما گشت,https://jobinja.ir/companies/homa-gasht-1/jobs
384,باشگامون,https://jobinja.ir/companies/bashgamoon/jobs
385,لوتوس,https://jobinja.ir/companies/lotous/jobs
386,چکاد فن انرژی,https://jobinja.ir/companies/chakad-fan-energy/jobs
387,خانه وکالت وندا,https://jobinja.ir/companies/vandaofice/jobs
388,مهندسی الماس الکترونیک سپاهان,https://jobinja.ir/companies/almas-electronics-sepahan/jobs
389,ایلای مبل,https://jobinja.ir/companies/eilaymobl/jobs
390,نیکو سنجش مهر,https://jobinja.ir/companies/nikoo-sanjesh-mehr/jobs
391,نشاگستر پردیس,https://jobinja.ir/companies/neshagostar-campus/jobs
392,اعتماد سرمایه رسالت ایرانیان,https://jobinja.ir/companies/etemad-sarmaye-resalat-iranian/jobs
393,آدوران,https://jobinja.ir/companies/aduran/jobs
394,نوین مسکن,https://jobinja.ir/companies/novin-real-estate/jobs
395,بازرگانی علیپور,https://jobinja.ir/companies/trading-alipour/jobs
396,آریا پک,https://jobinja.ir/companies/arya-pack/jobs
397,آتلیه نوزاد و بارداری راحله نظری,https://jobinja.ir/companies/rahele-nazari-studio/jobs
398,مانا تامین گستر سام,https://jobinja.ir/companies/mana-tamin-gostar-sam/jobs
399,استارت ویژن,https://jobinja.ir/companies/stratvision/jobs
400,مستر آواکس,https://jobinja.ir/companies/mravax/jobs
